"id","school_year","district_name","enrollment_grades_k_12","total_susp","iss_b","oss_b","iss_w","oss_w","h","a","m","p","i","b_disp","w_disp","h_disp","a_disp","m_disp","p_disp","i_disp"
"126",2008,"EAST PRAIRIE R-II",1047,70,,,70,,,,,,,,1.05864916366716,,,,,
"127",2008,"CHARLESTON R-I",1141,520,347,136,37,,,,,,,1.6663906599321,0.162711745149431,,,,,
"128",2008,"PARIS R-II",503,18,,,18,,,,,,,,1.09829763866008,,,,,
"129",2008,"PORTAGEVILLE",746,39,27,,6,6,,,,,,2.90154104068605,0.408404974372588,,,,,
"130",2008,"GIDEON 37",347,121,,,121,,,,,,,,1.00867460157353,,,,,
"131",2008,"NEW MADRID CO. R-I",1596,440,261,23,141,15,,,,,,1.88674231351811,0.544115184999163,,,,,
"132",2008,"DIAMOND R-IV",981,119,,,119,,,,,,,,1.0851871947911,,,,,
"133",2008,"SENECA R-VII",1636,576,,,440,40,9,,,,87,,1.0568590150074,1.06292517006803,,,,0.8321854912764
"134",2008,"MARYVILLE R-II",1341,226,,,226,,,,,,,,1.0436234606554,,,,,
"135",2008,"GAINESVILLE R-V",623,139,,,139,,,,,,,,1.01801893515219,,,,,
"136",2008,"LUTIE R-VI",201,11,,,11,,,,,,,,1.0634903754121,,,,,
"137",2008,"HAYTI R-II",802,533,493,40,,,,,,,,1.39236981342245,,,,,,
"138",2008,"PERRY CO. 32",2279,1513,,,1366,147,,,,,,,1.02197240674502,,,,,
"139",2008,"PETTIS CO. R-V",388,18,,,18,,,,,,,,1.00775975007558,,,,,
"140",2008,"LA MONTE R-IV",343,13,,,13,,,,,,,,1.45348837209302,,,,,
"141",2008,"SEDALIA 200",4441,2842,227,20,1955,406,234,,,,,1.20541784076967,1.02650808210986,0.758860671234965,,,,
"142",2008,"ST. JAMES R-I",1748,1040,16,,948,70,6,,,,,0.395491398062092,1.04332354918584,0.670840787119857,,,,
"143",2008,"BOWLING GREEN R-I",1388,276,13,,255,8,,,,,,0.680656781435872,1.03497181571048,,,,,
"144",2008,"PIKE CO. R-III",544,52,,,52,,,,,,,,1.06666666666667,,,,,
"145",2008,"PARK HILL",9873,2712,509,89,1505,427,158,18,,,6,2.20943361649553,0.89925445661572,0.966162305483399,0.165103685114252,,,0.291103865859339
"146",2008,"HALFWAY R-III",303,14,,,14,,,,,,,,1.02364622786365,,,,,
"147",2008,"HUMANSVILLE R-IV",390,113,,,106,7,,,,,,,1.01564086938858,,,,,
"148",2008,"MARION C. EARLY R-V",700,58,,,58,,,,,,,,1.02490519626935,,,,,
"149",2008,"WAYNESVILLE R-VI",5358,641,136,127,240,119,13,6,,,,1.59524265885099,0.929564153520498,0.220923869634524,0.221809820260109,,,
"150",2008,"DIXON R-I",1078,438,,,421,17,,,,,,,1.04964836779679,,,,,
"151",2008,"PUTNAM CO. R-I",771,90,,,84,6,,,,,,,1.01719051978436,,,,,
"152",2008,"RALLS CO. R-II",784,37,,,37,,,,,,,,1.03562551781276,,,,,
"153",2008,"RICHMOND R-XVI",1676,318,,,269,49,,,,,,,1.06746370623399,,,,,
"154",2008,"BUNKER R-III",245,25,,,17,,,,,,8,,0.688398461226969,,,,,
"155",2008,"FRANCIS HOWELL R-III",17824,3940,330,150,2106,1335,19,,,,,2.12613283014856,0.974721265409717,0.236388971832388,,,,
"156",2008,"ST. CHARLES R-VI",5340,1504,250,186,627,413,28,,,,,2.61165420739889,0.838473822847251,0.367925321671853,,,,
"157",2008,"NORTH ST. FRANCOIS CO. R-I",3133,313,,,130,183,,,,,,,1.02585145670907,,,,,
"158",2008,"STE. GENEVIEVE CO. R-II",1989,1503,,,1439,64,,,,,,,1.02522042239081,,,,,
"159",2008,"FERGUSON-FLORISSANT R-II",12186,13430,7499,4838,732,319,23,19,,,,1.18991585615685,0.378971584342812,0.141535848568949,0.168421799099387,,,
"160",2008,"KIRKWOOD R-VII",4975,1595,823,210,537,25,,,,,,2.98043673640735,0.469425922167177,,,,,
"161",2008,"MEHLVILLE R-IX",10969,3559,877,333,1796,535,11,7,,,,3.02476104387753,0.770812355206073,0.253340641827001,0.0783603433974134,,,
